Season,Player,Age[a],Pos[b],Team,Gamesplayed,Field goalsmade,3-pointfield goalsmade,Free throwsmade,Totalpoints,Points pergame,Ref
1965–66,Wilt Chamberlain,29,C,Philadelphia 76ers,79,1074,—,501,2649,33.5,[33][39]
1966–67,Rick Barry,22,F,San Francisco Warriors,78,1011,—,753,2775,35.6,[40][41]
1967–68,Dave Bing,24,G,Detroit Pistons,79,835,—,472,2142,27.1,[44][45]
1968–69,Elvin Hayes,23,F/C,San Diego Rockets,82,930,—,467,2327,28.4,[46][47]
1969–70,Jerry West,31,G,Los Angeles Lakers,74,831,—,647,2309,31.2,[49][50]
1970–71,Kareem Abdul-Jabbar,23,C,Milwaukee Bucks,82,1063,—,470,2596,31.7,[52][53]
1971–72,Kareem Abdul-Jabbar,24,C,Milwaukee Bucks,81,1159,—,504,2822,34.8,[53][54]
1972–73,"Nate ""Tiny"" Archibald",24,G,Kansas City-Omaha Kings,80,1028,—,663,2719,34.0,[55][56]
1973–74,Bob McAdoo,22,C/F,Buffalo Braves,74,901,—,459,2261,30.6,[57][58]
1974–75,Bob McAdoo,23,C/F,Buffalo Braves,82,1095,—,641,2831,34.5,[58][59]
1975–76,Bob McAdoo,24,C/F,Buffalo Braves,78,934,—,559,2427,31.1,[58][60]
1976–77,Pete Maravich,29,G,New Orleans Jazz,73,886,—,501,2273,31.1,[61][62]
1977–78,George Gervin,25,G/F,San Antonio Spurs,82,864,—,504,2232,27.2,[68][69]
1978–79,George Gervin,26,G/F,San Antonio Spurs,80,947,—,471,2365,29.6,[69][70]
1979–80,George Gervin,27,G/F,San Antonio Spurs,78,1024,32,505,2585,33.1,[69][71]
1980–81,Adrian Dantley,24,F/G,Utah Jazz,80,909,2,632,2452,30.7,[72][73]
1981–82,George Gervin,29,G/F,San Antonio Spurs,79,993,10,555,2551,32.3,[69][74]
1982–83,Alex English,29,F,Denver Nuggets,82,959,2,406,2326,28.4,[75][76]
1983–84,Adrian Dantley,27,F/G,Utah Jazz,79,802,1,813,2418,30.6,[73][77]
1984–85,Bernard King,28,F,New York Knicks,55,691,1,426,1809,32.9,[79][80]
1985–86,Dominique Wilkins,26,F,Atlanta Hawks,78,888,13,577,2366,30.3,[82][83]
1986–87,Michael Jordan,23,G,Chicago Bulls,82,1098,12,833,3041,37.1,[84][85]
1987–88,Michael Jordan,24,G,Chicago Bulls,82,1069,7,723,2868,35.0,[85][86]
1988–89,Michael Jordan,25,G,Chicago Bulls,81,966,27,674,2633,32.5,[85][87]
1989–90,Michael Jordan,26,G,Chicago Bulls,82,1034,92,593,2753,33.6,[85][88]
1990–91,Michael Jordan,27,G,Chicago Bulls,82,990,29,571,2580,31.5,[85][89]
1991–92,Michael Jordan,28,G,Chicago Bulls,80,943,27,491,2404,30.1,[85][90]
1992–93,Michael Jordan,29,G,Chicago Bulls,78,992,81,476,2541,32.6,[85][91]
1993–94,David Robinson,28,C,San Antonio Spurs,80,840,10,693,2383,29.8,[93][94]
1994–95,Shaquille O'Neal,22,C,Orlando Magic,79,930,0,455,2315,29.3,[95][96]
1995–96,Michael Jordan,32,G,Chicago Bulls,82,916,111,548,2491,30.4,[85][97]
1996–97,Michael Jordan,33,G,Chicago Bulls,82,920,111,480,2431,29.6,[85][98]
1997–98,Michael Jordan,34,G,Chicago Bulls,82,881,30,565,2357,28.7,[85][101]
1998–99[o],Allen Iverson,23,G,Philadelphia 76ers,48,435,58,356,1284,26.8,[104][105]
1999–00,Shaquille O'Neal,27,C,Los Angeles Lakers,79,956,0,432,2344,29.7,[96][106]
2000–01,Allen Iverson,25,G,Philadelphia 76ers,71,762,98,585,2207,31.1,[105][108]
2001–02,Allen Iverson,26,G,Philadelphia 76ers,60,665,78,475,1883,31.4,[105][110]
2002–03,Tracy McGrady,23,G/F,Orlando Magic,75,829,173,576,2407,32.1,[112][113]
2003–04,Tracy McGrady,24,G/F,Orlando Magic,67,653,174,398,1878,28.0,[113]
2004–05,Allen Iverson,29,G,Philadelphia 76ers,75,771,104,656,2302,30.7,[105]
2005–06,Kobe Bryant,27,G,Los Angeles Lakers,80,978,180,696,2832,35.4,[115]
2006–07,Kobe Bryant,28,G,Los Angeles Lakers,77,813,137,667,2430,31.6,[115]
2007–08,LeBron James,23,F,Cleveland Cavaliers,75,794,113,549,2250,30.0,[117]
2008–09,Dwyane Wade,27,G,Miami Heat,79,854,88,590,2386,30.2,[118]
2009–10,Kevin Durant,21,F,Oklahoma City Thunder,82,794,128,756,2472,30.1,[120]
2010–11,Kevin Durant,22,F,Oklahoma City Thunder,78,711,145,594,2161,27.7,[120]
2011–12[w],Kevin Durant,23,F,Oklahoma City Thunder,66,643,133,431,1850,28.0,[120]
2012–13,Carmelo Anthony,28,F,New York Knicks,67,669,157,425,1920,28.7,[124]
2013–14,Kevin Durant,25,F,Oklahoma City Thunder,81,849,192,703,2593,32.0,[120]
2014–15,Russell Westbrook,26,G,Oklahoma City Thunder,67,627,86,546,1886,28.1,[126]
2015–16,Stephen Curry,28,G,Golden State Warriors,79,805,402,363,2375,30.1,[128]
2016–17,Russell Westbrook,28,G,Oklahoma City Thunder,81,824,200,710,2558,31.6,[126]
2017–18,James Harden,28,G,Houston Rockets,72,651,265,624,2191,30.4,[130]
